tanggal,nama,tweet
2022-06-09 05:00:08+00:00,IwanMarzuki4,Sepanjang tahun 2022 KPK sudah 7 kali melakukan OTT https://t.co/ygKILw7U9U
2022-06-09 05:00:00+00:00,idxchannelcom,KPK: uang suap bupati nonaktif PPU mengalir ke parpol https://t.co/E4EU6LrwDE
2022-06-09 04:59:56+00:00,AyuTiasya,KPK bersama masyarakat untuk menurunkan tingkat korupsi untuk mewujudkan Indonesia maju https://t.co/8gimZbO9X5
2022-06-09 04:58:40+00:00,UmarHasibuan070,@cobeh2021 @msaid_didu Maalah saat ditanya wartawan ke ketua @KPK_RI dijawab firli pertanyaan titipan. Parah https://t.co/7WoxT072Kt
2022-06-09 04:57:49+00:00,san_ozil,"Berani Jujur Hebat

#KPKUpdates #KPK #SaveKPK https://t.co/plHrBczBay"
2022-06-09 04:57:47+00:00,FitriAndrianiy,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https://t.co/GTUmp2oznI
2022-06-09 04:57:40+00:00,SutanWidiyanto,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https://t.co/2e518N8SOQ
2022-06-09 04:57:35+00:00,AdamMahfud4,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https://t.co/vZmttiI8bY
2022-06-09 04:57:30+00:00,san_ozil,"KPK jangan hilang fokus, tetaplah bekerja dengan profesional

#KPKUpdates #KPK #SaveKPK https://t.co/ZY1ZF33YUn"
2022-06-09 04:57:24+00:00,IwanMarzuki4,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https://t.co/bL3hYueYLN
2022-06-09 04:57:18+00:00,AyuTiasya,KPK akan terus meningkatkan kinerja dalam pemberantasan korupsi https://t.co/3VcPaxvVPY
2022-06-09 04:57:14+00:00,ReneSinclair,"Gerakan Anti Korupsi
Dimulai Top-Down: 
Sistem Regulasi &amp; Contoh
-@GanjarPranowo-

#Ganjar #GanjarPranowo #Gubernur… https://t.co/LIo7hD8v9n"
2022-06-09 04:56:58+00:00,hari_bbg,"@GeiszChalifah Betapa jeniusnya Wan ogeb tanpa kerja pun dapat penghargaan,bahkan di seluruh dunia  dalam satu abad… https://t.co/uHHgkGYJZv"
2022-06-09 04:56:30+00:00,ThahirDahnial,"@keuangannews_id Bubarkan saja sekalian dg KPK..
Mubazzir uang negara buat gaji mereka.."
2022-06-09 04:55:42+00:00,Asepkoma73,"@democrazymedia 😂😂hanya dijaman ini KPK ngak dipercaya publik,biasanya paling tinggi,mengalahkan polisi dan kejaksaan."
2022-06-09 04:55:19+00:00,pxm_firman,@UmarHasibuan070 @KPK_RI mungkin bapak yang titipan ya..
2022-06-09 04:55:15+00:00,BangAhsan86,@VIVAcoid Ketua KPK  ngomongnya gini waladalah...gak mampu mundur gan!
2022-06-09 04:54:53+00:00,NgebutMautC84,"Jangkrik😭 Dirutnya mo cerai sama Lulu Tobing ya🤦‍♂️😩 Ya Allah, gw kita profit taking. Benar2 faktor FA diluar nalar… https://t.co/O3WsfVP45f"
2022-06-09 04:54:46+00:00,Caba_Roy,"@CNNIndonesia Coba tanya ke ms Fahri Hamzah
Dia yg ngotot rubah UU KPK"
2022-06-09 04:54:41+00:00,Rusman30966088,@mak_iyik @VeelaaRhie @KPK_RI Nyali sih ada...cuma knapa jadi seperti kena sambet kalamudeng..muter muter statemenya..🤭
2022-06-09 04:54:29+00:00,hot_dzoel17,@_SEKNAS_RI @SalmanTatang @AnakLolina2 @DBahareksa @salawazo_santos @Tjakra_mandala @Ojoklalenya @simbolonmarudu1… https://t.co/fqqbmfPgGl
2022-06-09 04:54:01+00:00,EeboneNeehh,"@GeiszChalifah Udahlah, udah lewat juga. Masih aja di gembargemborin. Udah bagus ga bikin malu negara! Beruntung ad… https://t.co/onE6ui8V1h"
2022-06-09 04:53:07+00:00,PapaAlkey,@triajaaa @KPK_RI KPK udah mati mbak...tapi jangan nanya kuburannya dimana ya...
2022-06-09 04:52:54+00:00,tribunnews,Eks Jubir Sindir KPK dan Puji Kinerja Kejaksaan Agung: yang Satu Banyak Gimik https://t.co/Sf7wDpGuEu
2022-06-09 04:52:28+00:00,banten02,"@detikcom Semoga @KPK_RI mau usut masalah ini, berapa duit yang mengalir di kantor Imigrasi tentang WNA China"
2022-06-09 04:50:57+00:00,joeandaaa,@hotmantmb @yudiharahap46 Doi jd ketua KPK aja udah jauh lbh aneh ~
2022-06-09 04:50:47+00:00,Fredy_Santana01,"@RasamalaArt Lembaga

 @KPK  sebainya tdk berlama2..kl toh mau dipertahankan,...Peranya cukup sbg pebyidik dan penu… https://t.co/o7bZRS3zbo"
2022-06-09 04:50:43+00:00,ChrysShn1,Kemendes PDTT RI bersama Komisi Pemberantasan Korupsi (KPK) Tetapkan 10 Desa Anti Korupsi. @halimiskandarnu ingin D… https://t.co/19cg3GEi1T
2022-06-09 04:49:53+00:00,verry_vaganza,@joko_gusman11 @fauzul_azmi @GunRomli LHA MEMANG BANYAK MASALAH TUH WAN AIBON🤣🤣🤣🤣DIA DIPERIKSA KPK KAPAN ITU.. BANY… https://t.co/xMwlbJkfKu
2022-06-09 04:48:59+00:00,markuspanda303,"@KPK_RI 
Terlalu lebay kelen kalau masalah pemberian buah buahan
Itu kan sekalian promosi pariwisata Sumatra Utara… https://t.co/QePc93KazO"
2022-06-09 04:48:58+00:00,usman_afin,"""Partai politik selama ini melahirkan kader-kader yang mengisi jabatan publik mulai dari anggota dewan, bupati, gub… https://t.co/ccH4FMYa9o"
2022-06-09 04:48:10+00:00,revansian1,"@BumiPutra_NKRI @Mustofa39120770 @geloraco Krn gw bukan Anggota KPK, gw enggak suka berkhayal 😂"
2022-06-09 04:48:04+00:00,VIVAcoid,"Kesal Ditanya Harun Masiku, Ketua KPK: Kayak Nggak Ada Pertanyaan Lain https://t.co/shFcBNFAfu"
2022-06-09 04:47:38+00:00,Dhimaz_Ariya,@KaltimKarim @firlibahuri @KPK_RI @KejaksaanRI @ListyoSigitP @puanmaharani_ri @jokowi @Kemendagri_RI Mna d yg bner… https://t.co/OFpvpeROcH
2022-06-09 04:47:21+00:00,BumiPutra_NKRI,"@revansian1 @Mustofa39120770 @geloraco 🤣🤣🤣🤣🤣🤣
TWK kpk loe gak lolos"
2022-06-09 04:46:58+00:00,mikaelwa63,@UmarHasibuan070 @KPK_RI Iya titipan masyarakat seluruh Indonesia..
2022-06-09 04:46:39+00:00,Callme_WasOoo,@Urooj38833165 Mam ... PTI Govt yeh bat achi trha janti ah k Maryam Bibi or Hamza k tmaam jlsy unke Apne paisoon se… https://t.co/ngPWat1DX4
2022-06-09 04:45:52+00:00,yudhieboyss,@indotanahbeta @Dogebuffbitch @Aistias1 @D3riPratama @dimaskerik1 @bukansiapa2lagi @ganjarpranowo @jokowi… https://t.co/fgAmW0LZPA
2022-06-09 04:45:49+00:00,asad_alee1,"@Queenofsass93 Kpk Angreji 🤣🤣🙈
Is ka mtlb ha Ap b larki ho khud ko Nasir Khan na smjhen 🤣🤣🤣🔥🔥🔥"
2022-06-09 04:45:38+00:00,kontenislam_com,Survei: KPK Lembaga Penegak Hukum Paling Tidak Dipercaya Publik https://t.co/3gBtxJm4LM https://t.co/czxMXmrNgR
2022-06-09 04:45:01+00:00,junnaid_khan,"@MaryamNSharif 24 hours mai 6 hours bhi ni hoty light buner kpk mai
Nani"
2022-06-09 04:43:36+00:00,mak_iyik,@VeelaaRhie @Rusman30966088 Semoga @KPK_RI  punya nyali
2022-06-09 04:41:18+00:00,miavita_store,Ccin @KPK_RI https://t.co/yc3p2fWo0X
2022-06-09 04:41:05+00:00,AbasBalapradana,"@BoyRembaya @jokowi Semua berawal dari ngototnya pemerintah merevisi UU KPK ditengah banyaknya penolakan saat itu,… https://t.co/3zJFdIq6fy"
2022-06-09 04:40:32+00:00,VIVAcoid,KPK Akan Hadirkan Andi Arief di Sidang Suap Bupati PPU Abdul Gafur https://t.co/Z6eRYqKaS5
2022-06-09 04:40:12+00:00,Joebaedeh,"@Rahmatmikhaela @Dennysiregar7 Uang itu sempat ditawarkan kepada Ahok, namun Ahok menolak dan justru meminta agar t… https://t.co/XBqJeuUEnd"
2022-06-09 04:40:00+00:00,democrazymedia,"Survei: KPK Lembaga Penegak Hukum Paling 'Tidak Dipercaya' Publik
https://t.co/ENav1zUDFJ"
2022-06-09 04:39:44+00:00,voidotid,"Mantan pegawai Komisi Pemberantasan Korupsi (KPK) yang kini jadi praktisi hukum Visi Law Office, Rasamala Aritonang… https://t.co/nNvnm1gxBm"
2022-06-09 04:39:07+00:00,kumparan,Dewas KPK segera mengambil keputusan: apakah laporan dugaan penerimaan akomodasi dan tiket MotoGP Lili Pintauli mas… https://t.co/UvawPpQ6kC
2022-06-09 04:38:09+00:00,BoyRembaya,@AbasBalapradana @jokowi Wes AMBYAR KPK mas....sudah jadi alat politik..buat saling kunci...
2022-06-09 04:38:09+00:00,FaizanUsafzai,"@MaryamNSharif Dagai, distt SWABI, KPK 
12 HRS LOAD SHEDDING"
2022-06-09 04:37:41+00:00,nizaminz,"@CNNIndonesia @msaid_didu Sejak dipimpin Polisi Akrif Firli, KPK seperti bawahan Polri.
Bubarkan saja"
2022-06-09 04:34:40+00:00,dra_bandits,"@UmarHasibuan070 @KPK_RI Bilang aja iyah , terus tanya lagi kenapa gak ketangkep tangkep ada titipan yah"
2022-06-09 04:33:47+00:00,merepetjak,"@iwanalidarmawan @KPK_RI Ngelesnya makin canggih. Dulu bilangnya kerjaannya banyak, yang diurusin bukan cuma masiku… https://t.co/Jnw13sQGXm"
2022-06-09 04:33:12+00:00,Sagar77653377,Sawat kpk https://t.co/40EvZX4y4t
2022-06-09 04:31:29+00:00,TedyMoel1,"@RasamalaArt Yakin stlh remunerasi ditingkatkan kinerja jg akan meningkat. Dulu KPK awal2 kinerjanya bagus, tapi st… https://t.co/miTN2Fcqm5"
2022-06-09 04:30:53+00:00,EngrMuqim,@MaryamNSharif 6 hours lower dir kpk
2022-06-09 04:30:49+00:00,heraldindo,"KPK Bongkar Aliran Dana Suap Rp3,1 Miliar Bupati Penajam Paser Utara ke Politisi Demokrat https://t.co/evbDxxfHIE"
2022-06-09 04:30:42+00:00,Monitorind_news,KPK Ingatkan Seluruh Pejabat Papua Barat untuk Tidak Korupsi https://t.co/aYeYdGKBdk
2022-06-09 04:30:33+00:00,Apede16,"@jaksapedia @KejaksaanRI @indikatorcoid hampir semua kasus2 besar ditangani @KejaksaanRI 
@KPK_RI keliatan gk kerja

#KejaksaanBerantasMafia"
2022-06-09 04:30:10+00:00,AbasBalapradana,"Seperti inikah hasil keputusan merevisi UU KPK yang katanya unk tujuan menguatkan itu pak @jokowi....???
https://t.co/cCy1DVCXeL"
2022-06-09 04:27:17+00:00,jawapos,KPK Berencana Hadirkan Andi Arief dalam Sidang Bupati PPU https://t.co/BfZzGAFAAb
2022-06-09 04:25:55+00:00,cebongsonto,@cobeh2021 Yg hebat ketua @KPK_RI mampu menghilangkan status pegawai KPK lewat TWK.apalagi si masiku.
2022-06-09 04:25:05+00:00,Shahnaw92971639,@MaryamNSharif Kpk 15hrs
2022-06-09 04:24:45+00:00,m4t4merah,@UmarHasibuan070 @KPK_RI Dia dr Polisi kan? Masa sih aneh .. 😜
2022-06-09 04:22:51+00:00,25Yudika,"@UmarHasibuan070 @Sandy230869012 @KPK_RI Jawaban tolol..
Ga layak jg ketua KPK .."
2022-06-09 04:22:31+00:00,cebongsonto,@UmarHasibuan070 @KPK_RI Ketua KPK Paling bermasalah didunia ya firli.
2022-06-09 04:22:02+00:00,merdekadotcom,"Sidang Suap Suap Bupati PPU Abdul Gafur, KPK Bakal Hadirkan Andi Arief https://t.co/fPfstnEu2m"
2022-06-09 04:22:00+00:00,goharali23415,"@PML_KPK @SHABAZGIL 360000 arab jo tery bab nowaz sharif aur tumra dada zardari my leya 
To tumhara bab ada kariga… https://t.co/DIpsPGjuM5"
2022-06-09 04:21:57+00:00,Titik39078729,@UmarHasibuan070 @KPK_RI Firli.. anda titipan y
2022-06-09 04:21:47+00:00,hmynkhan,"@mudazir Tabhi Youthia on month se Rana SanaUllah k dar se apny hi Ghar ni aa rha ta, KPK ma chupa hwa ta"
2022-06-09 04:20:56+00:00,aniesmania,"Ayo KPK jaga marwah integritas dengan berdiri bersama kejujuran dan kebenaran‼️

#Anies #AniesBaswedan https://t.co/vQphKstAod"
2022-06-09 04:19:57+00:00,cak_sobirin,@UmarHasibuan070 @KPK_RI Gak bisa nangkap ya ? Mundur aja fir
2022-06-09 04:17:20+00:00,fidasyarifah95,@manusiagabersa1 Bukti KPK semakin kuat yaitu terbukti dengan penangkapan Walikota Bekasi terkait kasus jual beli j… https://t.co/b99US57Eyf
2022-06-09 04:16:56+00:00,SirmenKhan,@SHABAZGIL @SHABAZGIL kpk bej2 in ko .karaya main donga .aur sehat card se ilaj hojaige
2022-06-09 04:16:11+00:00,gucel_id,@yusuf_dumdum @KPK_RI rame amat nih.. filem bokep baru judulnya apa? https://t.co/thMxYuRPRc
2022-06-09 04:13:32+00:00,ecosocrights,"Membubarkan KPK krn para pimimpinannya bermasalah itu spt kata pepatah, buruk muka cermin dibelah. Yang pantas dibu… https://t.co/8TpWdcQ6EF"
2022-06-09 04:13:09+00:00,WARKOPMOVEON,"@UmarHasibuan070 @KPK_RI Hahhaha

Dia kali yg kena titip"
2022-06-09 04:10:47+00:00,merrie_red,@jalurbekasi @hrdbacot @perkeretaapian @KPK_RI coba turun tngn mslh ini. Sapa tau ada korupsi makanya ga kelar2.… https://t.co/AVoccMuWa6
2022-06-09 04:10:27+00:00,RizkiSiagian4,@OposisiCerdas Itu lah bobot ketua @KPK_RI
2022-06-09 04:09:57+00:00,AdiMuammar,"@UmarHasibuan070 Gus Umar: Ketua Sibuk Pasang Baliho, Wakilnya Terima Gratifikasi, KPK Layak Dibubarkan

https://t.co/WlyO5ShmAl"
2022-06-09 04:09:43+00:00,fajaronline,"Gus Umar: Ketua Sibuk Pasang Baliho, Wakilnya Terima Gratifikasi, KPK Layak Dibubarkan https://t.co/ahHxQlijhZ… https://t.co/6w1jbGp637"
2022-06-09 04:09:30+00:00,ank_dadang,"@RasamalaArt KPK Bubarkan,Presiden Mengumumkan Diri Sbg Panglima Tertinggi Pemberantasan Korupsi tanpa Pandang Siap… https://t.co/Z8r7nCvJyF"
2022-06-09 04:08:53+00:00,ecosocrights,Justru itu yg diinginkan rezim oligarki @Jokowi: KPK dibubarkan. Makanya rezim merusaknya terlebih dahulu dgn revis… https://t.co/k5LecKncmN
2022-06-09 04:06:50+00:00,Alamsya50823884,"KPK sekarang dan seterusnya   lembaga negara yg lahir secara prematur tentu dalam mengambil sikap terseok.
BPK buka… https://t.co/ZFC9STZnuF"
2022-06-09 04:06:44+00:00,dar_yoga,"@jokowi  Survei: KPK Paling Tak Dipercaya, TNI dan Presiden Paling Dipercaya https://t.co/dOuSn0jKTl"
2022-06-09 04:06:19+00:00,zia_karib74,@UmarHasibuan070 @KPK_RI Mmng Aneh
2022-06-09 04:05:58+00:00,PettaKumpe,@UmarHasibuan070 @imranbachmid @KPK_RI Bubar aja kpk
2022-06-09 04:04:58+00:00,dedonc,"@triajaaa @KPK_RI masih ditimbang
belum nyampe 1kilo"
2022-06-09 04:03:32+00:00,voidotid,Kehadiran Andi ini penting untuk membuktikan dakwaan terhadap Abdul Gafur. Termasuk adanya dugaan pembiayaan Musyaw… https://t.co/0YEVqzqCT7
2022-06-09 04:03:32+00:00,kaedaharakajuju,"@paimonfess Ku r2 aja udah calon² gak kpk karne xiao dah dipakein pjws..kataku sih engga, kecusli emang berduit"
2022-06-09 04:03:28+00:00,SlikhaToun,KPK  itu kerja  untuk melindunggi  rakyat  ..bukan kerja melindunggi  Para elit koruptor. Dr Thn 2014 marasa gue gk… https://t.co/InLRxHCDTo
2022-06-09 04:01:47+00:00,KPK_RI,"Kegiatan ini diharapkan dapat memperkuat sinergi antara APH, serta mampu menjadi trigger dalam penanganan perkara t… https://t.co/s0OMfSBapE"
2022-06-09 04:00:43+00:00,KPK_RI,"APH jugmemiliki kewajiban untuk membangun kesadaran masyarakat, bahwa peran serta dari masyarakat angka korupsi dap… https://t.co/3WBH2OCJiY"
2022-06-09 03:59:29+00:00,bayuagni_,@paijodirajo @KPK_RI Tenang. Kepercayaan itu nanti bakal ditumbuhkan lagi oleh rompi biru anti korupsi
2022-06-09 03:59:02+00:00,fajaronline,"Bela Mardani Maming, Pendiri HIPMI: Karirnya Lagi Menanjak, Wajar Kalau Ada Upaya Jahat https://t.co/qdg0TtwDc7… https://t.co/QmkMKjwuqh"
2022-06-09 03:58:54+00:00,YongHendra2,"@triajaaa @KPK_RI DKi, Itu Daerah Khusus.

Kira2 begitu ya KPK ???"
2022-06-09 03:58:50+00:00,DrAfsarKhan9,@MaryamNSharif G ALHAMDULILLAH  In Dist Buner kpk loadshedding 6-8 ginty sy ziada kr k 10-11 ginty kr deye gay hai… https://t.co/l5KX0qVMwe
2022-06-09 03:58:32+00:00,andry19633,"Respon Rizal Ramli kepada Ketua KPK Firli Bahuri soal Parpol, Threshold dan Korupsi https://t.co/imTvIhIbyJ… https://t.co/HJUgUvItyl"
2022-06-09 03:58:09+00:00,KPK_RI,KPK mengharapkan agar APH terkhususnya di wilayah Provinsi Sulsel mampu mendorong untuk dilakukannya percepatan pen… https://t.co/UERNnDy1Hn
